房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C3单元30N,71.75,52752.61,52.39,72246.61,3785000.00,在售,
C3单元29N,71.72,52537.64,52.39,71922.12,3768000.00,已签预售合同,
C3单元28N,71.72,52328.49,52.39,71635.80,3753000.00,已签预售合同,
C3单元27N,71.72,52119.35,52.39,71349.49,3738000.00,已产权备案,
C3单元26N,71.72,51910.20,52.39,71063.17,3723000.00,已签预售合同,
,2336298.00,在售,办公
4105,541.25,71186.22,338.95,113673.22,38529539.00,在售,办公
4103,539.87,69944.86,338.09,111689.58,37761131.00,在售,办公
4102,539.87,66170.25,338.09,105662.20,35723333.00,在售,办公
4101,541.26,67365.16,338.96,107570.42,36462068.00,在售,办公
4008,55.24,40896.83,34.86,64806.11,2259141.00,在售,办公
4007,407.49,69427.22,257.18,110004.27,28290898.00,在售,办公
4006,300.40,60102.00,189.59,95229.92,18054641.00,在售,办公
4005,408.55,68683.53,257.84,108829.73,28060658.00,在售,办公
4003,408.56,68161.38,257.85,108000.83,27848015.00,在售,办公
4002,300.40,58170.00,189.59,92168.72,17474268.00,在售,办公
4001,407.49,69296.52,257.18,109797.18,28237640.00,在售,办公
3908,55.67,40718.29,34.86,65025.44,2266787.00,在售,办公
3907,392.80,69128.23,245.99,110384.84,27153568.00,在售,办公
3906,292.89,59875.00,183.42,95610.02,17536789.00,在售,办公
3905,393.89,68385.69,246.67,109200.31,26936441.00,在售,办公
3903,393.90,67863.82,246.68,108365.33,26731559.00,在售,办公
3902,292.89,57943.00,183.42,92524.94,16970925.00,在售,办公
3901,392.80,68997.60,245.99,110176.26,27102258.00,在售,办公
3808,55.13,40416.11,34.86,63916.81,2228140.00,在售,办公
3807,412.40,68622.53,260.76,108528.65,28299931.00,在售,办公
3806,299.84,59534.00,189.59,94154.10,17850675.00,在售,办公
3805,413.45,67880.95,261.42,107357.42,28065377.00,在售,办公
3803,413.45,67360.17,261.42,106533.78,27850061.00,在售,办公
3802,299.87,57602.00,189.61,91098.11,17273112.00,在售,办公
3801,412.37,68492.75,260.74,108323.83,28244355.00,在售,办公
3708,55.67,40327.57,34.86,64401.49,2245036.00,在售,办公
3707,392.80,68476.25,245.99,109343.75,26897470.00,在售,办公
3706,292.89,59307.00,183.42,94703.01,17370427.00,在售,办公
3705,393.89,67734.49,246.67,108160.45,26679937.00,在售,办公
