房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋23L,71.89,46665.00,45.03,74500.00,3354746.00,在售,商务公寓
2栋23J,46.44,46765.00,29.09,74656.00,2171766.00,在售,商务公寓
2栋23G,46.25,46065.00,28.97,73541.00,2130506.00,在售,商务公寓
2栋23F,46.19,45965.00,28.93,73388.00,2123123.00,在售,商务公寓
2栋23E,46.64,45865.00,29.22,73208.00,2139143.00,在售,商务公寓
2栋23D,48.54,46465.00,30.41,74166.00,2255411.00,在售,商务公寓
2栋23B,70.33,46500.00,44.06,74224.00,3270345.00,在售,商务公寓
2栋22L,65.88,46465.00,45.03,67979.00,3061114.00,在售,商务公寓
2栋22K,66.01,46165.00,45.12,67538.00,3047351.00,在售,商务公寓
2栋22J,42.56,46565.00,29.09,68126.00,1981806.00,在售,商务公寓
2栋22H,42.83,45965.00,29.28,67236.00,1968680.00,在售,商务公寓
2栋22G,42.39,45865.00,28.98,67088.00,1944217.00,在售,商务公寓
2栋22F,42.33,45765.00,28.94,66939.00,1937232.00,在售,商务公寓
2栋22E,42.74,45665.00,29.22,66794.00,1951722.00,在售,商务公寓
2栋22D,44.49,46265.00,30.41,67685.00,2058329.00,在售,商务公寓
2栋22C,42.83,45565.00,29.28,66651.00,1951548.00,在售,商务公寓
2栋22B,64.46,46300.00,44.06,67737.00,2984498.00,在售,商务公寓
2栋22A,64.73,46065.00,44.25,67385.00,2981787.00,在售,商务公寓
2栋21L,65.88,46265.00,45.03,67686.00,3047938.00,在售,商务公寓
2栋21K,66.01,45965.00,45.12,67246.00,3034149.00,在售,商务公寓
2栋21J,42.56,46365.00,29.09,67834.00,1973294.00,在售,商务公寓
2栋21H,42.83,45765.00,29.28,66943.00,1960114.00,在售,商务公寓
2栋21G,42.39,45665.00,28.98,66795.00,1935739.00,在售,商务公寓
2栋21F,42.33,45565.00,28.94,66647.00,1928766.00,在售,商务公寓
2栋21E,42.74,45465.00,29.22,66501.00,1943174.00,在售,商务公寓
2栋21D,44.49,46065.00,30.41,67393.00,2049431.00,在售,商务公寓
2栋21C,42.83,45365.00,29.28,66358.00,1942982.00,在售,商务公寓
2栋21B,64.46,46100.00,44.06,67444.00,2971606.00,在售,商务公寓
2栋21A,64.73,45865.00,44.25,67092.00,2968841.00,在售,商务公寓
2栋20L,65.88,46065.00,45.03,67394.00,3034762.00,在售,商务公寓
2栋20K,66.01,45765.00,45.12,66953.00,3020947.00,在售,商务公寓
2栋20J,42.56,46165.00,29.09,67541.00,1964782.00,在售,商务公寓
2栋20H,42.83,45565.00,29.28,66651.00,1951548.00,在售,商务公寓
2栋20G,42.39,45465.00,28.98,66503.00,1927261.00,在售,商务公寓
2栋20F,42.33,45365.00,28.94,66354.00,1920300.00,在售,商务公寓
2栋20E,42.74,45265.00,29.22,66208.00,1934626.00,在售,商务公寓
2栋20D,44.49,45865.00,30.41,67100.00,2040533.00,在售,商务公寓
2栋20C,42.83,45165.00,29.28,66066.00,1934416.00,在售,商务公寓
2栋20B,64.46,45900.00,44.06,67151.00,2958714.00,在售,商务公寓
2栋20A,64.73,45665.00,44.25,66799.00,2955895.00,在售,商务公寓
2栋19L,65.88,45865.00,45.03,67101.00,3021586.00,在售,商务公寓
2栋19K,66.01,45565.00,45.12,66661.00,3007745.00,在售,商务公寓
2栋19J,42.56,45965.00,29.09,67248.00,1956270.00,在售,商务公寓
2栋19H,42.83,45365.00,29.28,66358.00,1942982.00,在售,商务公寓
2栋19G,42.39,45265.00,28.98,66210.00,1918783.00,在售,商务公寓
2栋19F,42.33,45165.00,28.94,66061.00,1911834.00,在售,商务公寓
2栋19E,42.74,45065.00,29.22,65916.00,1926078.00,在售,商务公寓
2栋19D,44.49,45665.00,30.41,66808.00,2031635.00,在售,商务公寓
2栋19C,42.83,44965.00,29.28,65773.00,1925850.00,在售,商务公寓
2栋19B,64.46,45700.00,44.06,66859.00,2945822.00,在售,商务公寓
2栋19A,64.73,45465.00,44.25,66507.00,2942949.00,在售,商务公寓
2栋18L,65.88,45665.00,45.03,66809.00,3008410.00,在售,商务公寓
2栋18K,66.01,45365.00,45.12,66368.00,2994543.00,在售,商务公寓
2栋18J,42.56,45765.00,29.09,66956.00,1947758.00,在售,商务公寓
2栋18H,42.83,45165.00,29.28,66066.00,1934416.00,在售,商务公寓
2栋18G,42.39,45065.00,28.98,65918.00,1910305.00,在售,商务公寓
2栋18F,42.33,44965.00,28.94,65769.00,1903368.00,在售,商务公寓
2栋18E,42.74,44865.00,29.22,65623.00,1917530.00,在售,商务公寓
2栋18D,44.49,45465.00,30.41,66515.00,2022737.00,在售,商务公寓
2栋18C,42.83,44765.00,29.28,65481.00,1917284.00,在售,商务公寓
2栋18B,64.46,45500.00,44.06,66566.00,2932930.00,在售,商务公寓
2栋18A,64.73,45265.00,44.25,66214.00,2930003.00,在售,商务公寓
2栋17L,65.88,45465.00,45.03,66516.00,2995234.00,在售,商务公寓
2栋17K,66.01,45165.00,45.12,66075.00,2981341.00,在售,商务公寓
2栋17J,42.56,45565.00,29.09,66663.00,1939246.00,在售,商务公寓
2栋17H,42.83,44965.00,29.28,65773.00,1925850.00,在售,商务公寓
2栋17G,42.39,44865.00,28.98,65625.00,1901827.00,在售,商务公寓
2栋17F,42.33,44765.00,28.94,65476.00,1894902.00,在售,商务公寓
2栋17E,42.74,44665.00,29.22,65331.00,1908982.00,在售,商务公寓
2栋17D,44.49,45265.00,30.41,66222.00,2013839.00,在售,商务公寓
